,model1,dataset1,gpu_num1,batchsize1,amp1,speed1,model2,dataset2,gpu_num2,batchsize2,amp2,speed2,gpu_util,gmem_util,gmem
188,PPO,LunarLander,1,128,0,1.0,LSTM,Wikitext2,1,64,0,0.997,95.778,68.714,5932
189,PPO,LunarLander,1,128,0,1.0,LSTM,Wikitext2,1,64,1,1.032,78.583,60.7,5798
190,PPO,LunarLander,1,128,0,1.0,LSTM,Wikitext2,1,128,0,0.998,73.311,56.475,7664
191,PPO,LunarLander,1,128,0,1.0,LSTM,Wikitext2,1,128,1,1.0,69.589,55.357,7368
192,ResNet18,CIFAR-10,1,32,0,0.96,DCGAN,LSUN,1,32,0,0.88,90.066,46.171,4846
193,ResNet18,CIFAR-10,1,32,0,0.969,DCGAN,LSUN,1,32,1,0.942,73.0,37.276,5130
194,ResNet18,CIFAR-10,1,32,1,0.858,DCGAN,LSUN,1,32,0,0.968,84.934,34.697,4810
195,ResNet18,CIFAR-10,1,32,1,0.885,DCGAN,LSUN,1,32,1,0.963,57.547,28.28,5674
196,ResNet18,CIFAR-10,1,32,0,0.801,DCGAN,LSUN,1,64,0,0.819,98.133,48.8,4956
197,ResNet18,CIFAR-10,1,32,0,0.998,DCGAN,LSUN,1,64,1,0.921,81.197,41.368,4718
198,ResNet18,CIFAR-10,1,32,1,0.876,DCGAN,LSUN,1,64,0,0.995,94.684,46.421,4896
199,ResNet18,CIFAR-10,1,32,1,0.897,DCGAN,LSUN,1,64,1,0.948,69.027,34.054,5260
200,ResNet18,CIFAR-10,1,32,0,0.563,DCGAN,LSUN,1,128,0,0.756,99.368,45.237,5506
201,ResNet18,CIFAR-10,1,32,0,0.949,DCGAN,LSUN,1,128,1,0.81,86.857,48.792,5090
202,ResNet18,CIFAR-10,1,32,1,0.682,DCGAN,LSUN,1,128,0,0.906,96.211,47.0,5448
203,ResNet18,CIFAR-10,1,32,1,0.81,DCGAN,LSUN,1,128,1,0.881,71.276,39.408,5736
204,ResNet18,CIFAR-10,1,64,0,0.732,DCGAN,LSUN,1,32,0,0.868,97.513,57.974,5140
205,ResNet18,CIFAR-10,1,64,0,0.926,DCGAN,LSUN,1,32,1,0.9,92.579,56.711,5412
206,ResNet18,CIFAR-10,1,64,1,0.755,DCGAN,LSUN,1,32,0,0.915,89.224,49.789,5068
207,ResNet18,CIFAR-10,1,64,1,0.818,DCGAN,LSUN,1,32,1,0.926,70.027,37.067,5340
208,ResNet18,CIFAR-10,1,64,0,0.597,DCGAN,LSUN,1,64,0,0.711,99.554,50.824,5226
209,ResNet18,CIFAR-10,1,64,0,0.845,DCGAN,LSUN,1,64,1,0.86,94.171,57.789,5012
210,ResNet18,CIFAR-10,1,64,1,0.669,DCGAN,LSUN,1,64,0,0.923,93.095,50.176,6208
211,ResNet18,CIFAR-10,1,64,1,0.771,DCGAN,LSUN,1,64,1,0.976,80.487,44.947,5994
212,ResNet18,CIFAR-10,1,64,0,0.444,DCGAN,LSUN,1,128,0,0.718,99.909,48.519,5778
213,ResNet18,CIFAR-10,1,64,0,0.749,DCGAN,LSUN,1,128,1,0.721,95.667,62.36,6064
214,ResNet18,CIFAR-10,1,64,1,0.514,DCGAN,LSUN,1,128,0,0.829,97.892,49.635,5706
215,ResNet18,CIFAR-10,1,64,1,0.702,DCGAN,LSUN,1,128,1,0.823,83.122,49.973,5620
216,ResNet18,CIFAR-10,1,128,0,0.719,DCGAN,LSUN,1,32,0,0.653,99.447,57.816,5552
217,ResNet18,CIFAR-10,1,128,0,0.892,DCGAN,LSUN,1,32,1,0.797,97.053,65.96,7134
218,ResNet18,CIFAR-10,1,128,1,0.749,DCGAN,LSUN,1,32,0,0.914,92.149,51.541,6516
219,ResNet18,CIFAR-10,1,128,1,0.88,DCGAN,LSUN,1,32,1,0.935,82.618,48.355,7416
220,ResNet18,CIFAR-10,1,128,0,0.643,DCGAN,LSUN,1,64,0,0.631,99.581,57.5,7748
221,ResNet18,CIFAR-10,1,128,0,0.861,DCGAN,LSUN,1,64,1,0.749,99.064,65.231,7534
222,ResNet18,CIFAR-10,1,128,1,0.706,DCGAN,LSUN,1,64,0,0.843,98.571,60.494,5804
223,ResNet18,CIFAR-10,1,128,1,0.82,DCGAN,LSUN,1,64,1,0.845,88.707,50.467,5588
224,ResNet18,CIFAR-10,1,128,0,0.507,DCGAN,LSUN,1,128,0,0.554,99.919,47.135,6190
225,ResNet18,CIFAR-10,1,128,0,0.792,DCGAN,LSUN,1,128,1,0.652,98.961,67.338,5778
